ID	NUTS	q	x1	z1	z2
122	FR41	58.841686	225.21982	63.916161	225.9122
123	FR42	61.594242	228.87566	56.571358	200.74673
124	FR43	57.529411	221.64923	59.30711	231.6463
125	FR51	56.916725	199.8959	57.738918	214.5822
126	FR52	57.058044	200.31676	51.483936	177.75964
127	FR53	55.226048	199.83832	56.908478	209.35434
128	FR61	57.881245	210.27437	53.43457	209.34392
129	FR62	56.139145	201.69574	54.919876	208.47626
130	FR63	54.432526	202.00693	56.911667	209.28058
131	FR71	61.7845	231.60933	61.553028	258.27591
132	FR72	56.215096	214.00566	58.240295	217.70535
133	FR81	57.062946	207.91924	57.326279	218.84404
134	FR82	63.485088	238.73439	63.284077	266.086
135	FR83	57.670212	194	61.296951	282.89606
136	HR04	19.535484	114.40215	18.520004	110.71729
137	HR03	19.274548	128.35558	37.197086	198.74495
138	HU10	19.699686	125.50094	15.47636	83.955742
139	HU21	16.977924	87.741722	23.386251	121.08195
140	HU22	17.31613	97.363441	35.346565	164.3524
141	HU23	15.329513	96.971344	17.67157	97.313751
142	HU31	15.620779	85.127274	15.133271	98.777222
143	HU32	14.882829	81.165657	13.729338	88.652824
144	HU33	14.828629	61.560482	16.502146	95.301384
145	IE01	57.256596	90.167862	59.45726	140.06335
146	IE02	85.656761	111.01095	51.080212	132.73608
147	ITC1	66.759682	319.12814	65.472672	262.63528
148	ITC2	63.775864	297.86206	64.878304	263.47147
149	ITC3	67.037384	273.91122	65.702477	285.44946
150	ITC4	71.28054	271.05942	66.610222	305.44946
151	ITF1	54.485149	241.53267	57.490643	301.00507
152	ITF2	54.645454	347.28183	54.120316	275.29645
153	ITF3	46.996838	266.7338	55.650036	291.40604
154	ITF4	48.178123	245.87065	50.734612	273.29596
155	ITF5	50.640778	297.77185	50.242081	262.91574
156	ITF6	46.904839	213.15968	50.450508	289.8895
157	ITG1	51.79134	291.78937	44.904388	234.02637
158	ITG2	50.584072	320.04071	62.71418	257.68793
159	ITH1	67.661018	300.19067	64.059158	280.36761
160	ITH2	68.074562	338.13159	65.266312	278.62131
161	ITH3	65.657845	298.21878	66.850296	301.99747
162	ITH4	61.713741	302.74808	56.284893	244.64571
163	ITH5	65.521622	297.8576	66.645004	284.53223
164	ITI1	61.174686	241.34015	63.673988	292.55569
165	ITI2	57.387932	254.61494	61.920891	283.42505
166	ITI3	58.122314	311.8215	61.774014	271.98373
167	ITI4	70.300682	324.57324	57.163109	279.31821
168	LT00	10.325233	58.496067	13.960691	87.088058
169	LU00	96.833336	271.82196	54.774128	207.14256
170	LV00	9.737792	67.622078	23.874453	92.098793
171	MT00	31.801371	146.59589	48.902382	263.06506
172	NL11	72.677902	190.65918	52.860062	218.43112
173	NL12	50.745644	201.53659	61.032349	216.71758
174	NL13	51.10268	177.33035	57.175106	221.09689
175	NL21	52.351852	169.54259	53.230019	200.77927
176	NL22	55.167545	168.69125	59.800407	242.06461
177	NL23	57.424461	334.92807	59.633049	187.45099
178	NL31	68.295349	186.35683	62.143993	226.93109
179	NL32	71.604851	211.12767	59.457291	220.84933
180	NL33	65.65345	212.7339	65.438484	216.80467
181	NL34	48.156071	212.3815	70.72683	245.22786
182	NL41	60.869667	207.17456	65.486603	222.34354
183	NL42	53.674419	177.52415	60.880619	231.22627
184	PL11	11.374778	55.049732	15.796956	108.84766
185	PL12	22.303015	216.85239	11.347938	53.183376
186	PL21	11.918797	69.294739	13.157426	84.723358
187	PL22	16.251896	93.285133	14.20944	101.28148
188	PL31	9.1072559	43.155624	13.730503	88.966682
189	PL32	11.14741	46.974766	12.527837	76.497002
190	PL33	12.132608	57.697826	11.960028	61.551998
191	PL34	11.150685	54.013699	13.16599	86.139023
192	PL41	13.973647	86.318375	13.349943	72.940338
193	PL42	14.38162	73.970406	28.506725	146.33078
194	PL43	12.346633	67.783043	34.382034	189.46666
195	PL51	17.526596	111.70744	19.683786	124.29903
196	PL52	14.323615	90.084549	15.56509	109.87451
197	PL61	11.120088	56.191048	15.467287	102.89516
198	PL62	12.974359	56	14.321932	97.161705
199	PL63	16.710638	100.25532	12.95927	68.052574
200	PT11	24.773735	90.967026	39.59774	184.14555
201	PT15	30.90576	141.93193	36.276199	158.13138
202	PT16	25.039797	98.061813	35.931618	156.03093
203	PT17	41.24596	181.37738	30.456249	131.83685
204	PT18	33.125	129.39063	35.832348	160.63963
205	RO11	5.2689657	52.023754	11.402498	84.525703
206	RO12	6.966856	65.036934	6.2069416	65.579727
207	RO21	3.2557929	27.081327	7.2260165	77.454819
208	RO22	5.3676691	46.746616	6.4676023	67.62722
209	RO31	4.4810429	42.450237	6.7904406	68.13559
210	RO32	14.045548	181.01656	4.8775396	40.422321
211	RO41	3.9833586	25.326778	7.609766	82.858009
212	RO42	6.3133998	72.246956	9.1861277	57.02272
213	SE11	74.602455	160.05476	58.582928	129.89124
214	SE12	58.87574	135.15384	61.728271	134.87143
215	SE21	55.964012	126.21851	67.763901	154.56166
216	SE22	60.859322	117.97458	61.645771	189.80545
217	SE23	63.670288	121.9855	65.171906	163.98236
218	SE31	60.842106	114.59834	62.257313	141.33533
219	SE32	60.575581	137.98256	61.525009	164.96638
220	SE33	60.168888	139.45334	59.71418	202.75555
221	SI01	23.701902	143.15433	44.452198	208.78398
222	SI02	30.140589	182.81406	51.644535	222.18594
223	SK01	21.035812	139.89256	42.807381	182.38112
224	SK02	15.071642	104.18358	28.219656	152.44394
225	SK03	13.026585	106.60736	14.465874	110.95507
226	SK04	13.228628	119.05169	13.31928	77.833961
227	UKC1	47.10408	162.28572	51.742416	159.89743
228	UKC2	49.291527	166.89153	52.433472	172.71584
229	UKD1	51.253521	232.48357	51.065029	151.35448
230	UKD3	55.558201	128.99382	53.552319	123.61153
231	UKD4	50.948196	117.03767	55.832024	154.81474
232	UKD6	61.608696	140.69565	51.771824	125.96319
233	UKD7	55.687077	139.05443	53.855827	128.65674
234	UKE1	47.534004	150.67758	49.099754	134.42303
235	UKE2	52.166199	150.22816	49.020782	130.25418
236	UKE3	44.464993	88.423698	52.17305	136.7531
237	UKE4	55.052631	132.84624	50.738361	121.14062
238	UKF1	50.554218	121.01971	50.338352	131.39565
239	UKF2	53.355213	127.11712	60.062222	156.44612
240	UKF3	43.260727	179.59737	50.205582	132.9671
241	UKG1	52.209999	114.39167	56.016964	133.72076
242	UKG2	46.11142	123.7103	58.136524	132.17712
243	UKG3	64.16452	130.62683	52.76791	125.38689
244	UKH1	55.119473	177.59737	77.141335	185.71077
245	UKH2	66.606094	149.54512	82.06324	181.86169
246	UKH3	49.967991	146.15237	80.414322	171.35677
247	UKI1	172.51665	326.14185	57.997253	124.63255
248	UKI2	58.750824	108.45557	80.75042	168.16982
249	UKJ1	75.72554	201.44156	83.24041	178.34222
250	UKJ2	65.582802	123.96577	82.991745	177.5238
251	UKJ3	58.887135	156.53612	62.154232	141.35378
252	UKJ4	49.078564	95.043938	82.684875	170.85214
253	UKK1	59.441338	151.03249	60.451569	144.97392
254	UKK2	51.270649	121.87346	58.978374	149.56393
255	UKK3	41.004829	147.47343	51.896763	124.5794
256	UKK4	48.627857	124.41788	53.523254	142.60651
257	UKL1	43.131649	89.456116	54.525902	130.79382
258	UKL2	57.012321	136.11705	53.445255	119.77612
259	UKM2	55.828415	158.25246	53.793251	181.74988
260	UKM5	58.868916	173.26218	52.355263	164.70837
261	UKM6	53.737144	175.78285	55.359932	171.84029
262	UKN0	56.995659	200.46599	61.16209	150.44882
263	UKM3	55.815151	160.3293	52.094639	184.07585
